id,sciName (Clements/eBird/ML),comNameEn (Clements/eBird/ML),code (Clements/eBird/ML),sciName (IOC),comNameEn (IOC),comNameDe (IOC/DOG),sciName (GBIF),class (GBIF),order (GBIF),sciNameSynonyms
164,Acrocephalus rufescens,Greater Swamp Warbler,grswar2,Acrocephalus rufescens,Greater Swamp Warbler,Papyrusrohrsänger,Acrocephalus rufescens,Aves,Passeriformes,['Acrocephalus rufescens']
165,Acrocephalus schoenobaenus,Sedge Warbler,sedwar1,Acrocephalus schoenobaenus,Sedge Warbler,Schilfrohrsänger,Acrocephalus schoenobaenus,Aves,Passeriformes,['Acrocephalus schoenobaenus']
166,Acrocephalus scirpaceus,Common Reed Warbler,eurwar1,Acrocephalus scirpaceus,Common Reed Warbler,Teichrohrsänger,Acrocephalus scirpaceus,Aves,Passeriformes,['Acrocephalus scirpaceus']
167,Acrocephalus sechellensis,Seychelles Warbler,sebwar1,Acrocephalus sechellensis,Seychelles Warbler,Seychellenrohrsänger,Acrocephalus sechellensis,Aves,Passeriformes,['Acrocephalus sechellensis']
168,Acrocephalus stentoreus,Clamorous Reed Warbler,clrwar1,Acrocephalus stentoreus,Clamorous Reed Warbler,Stentorrohrsänger,Acrocephalus stentoreus,Aves,Passeriformes,['Acrocephalus stentoreus']
169,Acrocephalus syrinx,Caroline Reed Warbler,carrew1,Acrocephalus syrinx,Caroline Reed Warbler,Carolinenrohrsänger,Acrocephalus syrinx,Aves,Passeriformes,['Acrocephalus syrinx']
170,Acrocephalus taiti,Henderson Island Reed Warbler,hirwar1,Acrocephalus taiti,Henderson Reed Warbler,Hendersonrohrsänger,Acrocephalus taiti,Aves,Passeriformes,['Acrocephalus taiti']
171,Acrocephalus tangorum,Manchurian Reed Warbler,manrew1,Acrocephalus tangorum,Manchurian Reed Warbler,Mandschurenrohrsänger,Acrocephalus tangorum,Aves,Passeriformes,['Acrocephalus tangorum']
172,Acrocephalus vaughani,Pitcairn Reed Warbler,pirwar2,Acrocephalus vaughani,Pitcairn Reed Warbler,Pitcairnrohrsänger,Acrocephalus vaughani,Aves,Passeriformes,['Acrocephalus vaughani']
175,Tapirus indicus,Asian tapir,t-11077291,,,,Acrocodia indica,Mammalia,Perissodactyla,"['Acrocodia indica', 'Tapirus indicus']"
176,Acrodectes philopagus,,,,,,Acrodectes philopagus,Insecta,Orthoptera,['Acrodectes philopagus']
177,Acrometopa cretensis,,,,,,Acrometopa cretensis,Insecta,Orthoptera,['Acrometopa cretensis']
178,Acrometopa italica,,,,,,Acrometopa italica,Insecta,Orthoptera,['Acrometopa italica']
179,Acrometopa macropoda,,,,,,Acrometopa macropoda,Insecta,Orthoptera,['Acrometopa macropoda']
180,Acrometopa servillea,,,,,,Acrometopa servillea,Insecta,Orthoptera,['Acrometopa servillea']
181,Acrometopa syriaca,,,,,,Acrometopa syriaca,Insecta,Orthoptera,['Acrometopa syriaca']
182,Acropternis orthonyx,Ocellated Tapaculo,ocetap1,Acropternis orthonyx,Ocellated Tapaculo,Perlmanteltapaculo,Acropternis orthonyx,Aves,Passeriformes,['Acropternis orthonyx']
183,Acryllium vulturinum,Vulturine Guineafowl,vulgui1,Acryllium vulturinum,Vulturine Guineafowl,Geierperlhuhn,Acryllium vulturinum,Aves,Galliformes,['Acryllium vulturinum']
184,Actenoides bougainvillei,Moustached Kingfisher,moukin2,Actenoides bougainvillei,Moustached Kingfisher,Bartliest,Actenoides bougainvillei,Aves,Coraciiformes,['Actenoides bougainvillei']
185,Actenoides concretus,Rufous-collared Kingfisher,ruckin1,Actenoides concretus,Rufous-collared Kingfisher,Malaienliest,Actenoides concretus,Aves,Coraciiformes,['Actenoides concretus']
186,Actenoides hombroni,Blue-capped Kingfisher,blckin2,Actenoides hombroni,Blue-capped Kingfisher,Mindanaoliest,Actenoides hombroni,Aves,Coraciiformes,['Actenoides hombroni']
187,Actenoides lindsayi,Spotted Kingfisher,spokin1,Actenoides lindsayi,Spotted Wood Kingfisher,Tropfenliest,Actenoides lindsayi,Aves,Coraciiformes,['Actenoides lindsayi']
188,Actenoides monachus,Green-backed Kingfisher,grbkin1,Actenoides monachus,Green-backed Kingfisher,Einsiedlerliest,Actenoides monachus,Aves,Coraciiformes,['Actenoides monachus']
189,Actenoides princeps,Scaly-breasted Kingfisher,scakin1,Actenoides princeps,Scaly-breasted Kingfisher,Prinzenliest,Actenoides princeps,Aves,Coraciiformes,['Actenoides princeps']
190,Actinodura cyanouroptera,Blue-winged Minla,blwmin1,Actinodura cyanouroptera,Blue-winged Minla,Blauflügelsiva,Minla cyanouroptera,Aves,Passeriformes,"['Actinodura cyanouroptera', 'Minla cyanouroptera']"
192,Actinodura egertoni,Rusty-fronted Barwing,rufbar1,Actinodura egertoni,Rusty-fronted Barwing,Roststirn-Meisenhäherling,Actinodura egertoni,Aves,Passeriformes,['Actinodura egertoni']
193,Actinodura morrisoniana,Taiwan Barwing,taibar1,Actinodura morrisoniana,Taiwan Barwing,Taiwanmeisenhäherling,Actinodura morrisoniana,Aves,Passeriformes,['Actinodura morrisoniana']
194,Actinodura nipalensis,Hoary-throated Barwing,hotbar1,Actinodura nipalensis,Hoary-throated Barwing,Nepalmeisenhäherling,Actinodura nipalensis,Aves,Passeriformes,['Actinodura nipalensis']
195,Actinodura ramsayi,Spectacled Barwing,spebar1,Actinodura ramsayi,Spectacled Barwing,Brillenmeisenhäherling,Actinodura ramsayi,Aves,Passeriformes,['Actinodura ramsayi']
196,Actinodura sodangorum,Black-crowned Barwing,bkcbar1,Actinodura sodangorum,Black-crowned Barwing,Schwarzscheitel-Meisenhäherling,Actinodura sodangorum,Aves,Passeriformes,['Actinodura sodangorum']
197,Actinodura souliei,Streaked Barwing,strbar1,Actinodura souliei,Streaked Barwing,Tonkinmeisenhäherling,Actinodura souliei,Aves,Passeriformes,['Actinodura souliei']
198,Actinodura strigula,Chestnut-tailed Minla,chtmin1,Actinodura strigula,Bar-throated Minla,Bändersiva,Minla strigula,Aves,Passeriformes,"['Actinodura strigula', 'Minla strigula']"
199,Actinodura waldeni,Streak-throated Barwing,sttbar1,Actinodura waldeni,Streak-throated Barwing,Waldenmeisenhäherling,Actinodura waldeni,Aves,Passeriformes,['Actinodura waldeni']
200,Actinopterygii,Ray-finned Fishes,t-10521116,,,,,,,['Actinopterygii']
201,Actitis hypoleucos,Common Sandpiper,comsan,Actitis hypoleucos,Common Sandpiper,Flussuferläufer,Actitis hypoleucos,Aves,Charadriiformes,['Actitis hypoleucos']
202,Actitis macularius,Spotted Sandpiper,sposan,Actitis macularius,Spotted Sandpiper,Drosseluferläufer,Actitis macularius,Aves,Charadriiformes,['Actitis macularius']
203,Actophilornis africanus,African Jacana,afrjac1,Actophilornis africanus,African Jacana,Blaustirn-Blatthühnchen,Actophilornis africanus,Aves,Charadriiformes,['Actophilornis africanus']
204,Actophilornis albinucha,Madagascar Jacana,madjac1,Actophilornis albinucha,Madagascar Jacana,Madagaskarblatthühnchen,Actophilornis albinucha,Aves,Charadriiformes,['Actophilornis albinucha']
205,Addax nasomaculatus,,,,,,Addax nasomaculatus,Mammalia,Artiodactyla,['Addax nasomaculatus']
206,Adelastes hylonomos,Adelastes hylonomos,t-11052511,,,,Adelastes hylonomos,Amphibia,Anura,['Adelastes hylonomos']
207,Adelomyia melanogenys,Speckled Hummingbird,spehum1,Adelomyia melanogenys,Speckled Hummingbird,Schwarzohrkolibri,Adelomyia melanogenys,Aves,Apodiformes,['Adelomyia melanogenys']
208,Adelophryne adiastola,Adelophryne adiastola,t-11153178,,,,Adelophryne adiastola,Amphibia,Anura,['Adelophryne adiastola']
209,Adelophryne amapaensis,,,,,,Adelophryne amapaensis,Amphibia,Anura,['Adelophryne amapaensis']
210,Adelophryne baturitensis,,,,,,Adelophryne baturitensis,Amphibia,Anura,['Adelophryne baturitensis']
211,Adelophryne,Adelophryne,t-10588448,,,,,Amphibia,Anura,['Adelophryne']
212,Adelotus brevis,Adelotus brevis,t-11137625,,,,Adelotus brevis,Amphibia,Anura,['Adelotus brevis']
213,Adelpha californica,,,,,,Limenitis bredowii,Insecta,Lepidoptera,"['Adelpha californica', 'Limenitis bredowii']"
214,Adelphobates quinquevittatus,Adelphobates quinquevittatus,t-11136364,,,,Adelphobates quinquevittatus,Amphibia,Anura,['Adelphobates quinquevittatus']
215,Adenomera andreae,Adenomera andreae,t-11138772,,,,Adenomera andreae,Amphibia,Anura,['Adenomera andreae']
216,Adenomera araucaria,,,,,,Adenomera araucaria,Amphibia,Anura,['Adenomera araucaria']
217,Adenomera bokermanni,,,,,,Adenomera bokermanni,Amphibia,Anura,['Adenomera bokermanni']
218,Adenomera diptyx,Adenomera diptyx,t-11154029,,,,Adenomera diptyx,Amphibia,Anura,['Adenomera diptyx']
219,Adenomera heyeri,,,,,,Adenomera heyeri,Amphibia,Anura,['Adenomera heyeri']
220,Adenomera hylaedactyla,Adenomera hylaedactyla,t-11115397,,,,Adenomera hylaedactyla,Amphibia,Anura,['Adenomera hylaedactyla']
221,Adenomera marmorata,Adenomera marmorata,t-11050351,,,,Adenomera marmorata,Amphibia,Anura,['Adenomera marmorata']
222,Adenomera nana,,,,,,Adenomera nana,Amphibia,Anura,['Adenomera nana']
223,Adenomera saci,,,,,,Adenomera saci,Amphibia,Anura,['Adenomera saci']
224,Adenomera,Adenomera,t-10604147,,,,,Amphibia,Anura,['Adenomera']
225,Adenostoma sparsifolium,,,,,,,,,['Adenostoma sparsifolium']
226,Adiantum jordanii,,,,,,,,,['Adiantum jordanii']
227,Aechmophorus clarkii,Clark's Grebe,clagre,Aechmophorus clarkii,Clark's Grebe,Clarktaucher,Aechmophorus clarkii,Aves,Podicipediformes,['Aechmophorus clarkii']
228,Aechmophorus occidentalis,Western Grebe,wesgre,Aechmophorus occidentalis,Western Grebe,Renntaucher,Aechmophorus occidentalis,Aves,Podicipediformes,['Aechmophorus occidentalis']
229,Aeginetia indica,,,,,,,,,['Aeginetia indica']
230,Aegithalos bonvaloti,,,Aegithalos bonvaloti,Black-browed Bushtit,Brauenschwanzmeise,Aegithalos bonvaloti,Aves,Passeriformes,['Aegithalos bonvaloti']
231,Aegithalos caudatus,Long-tailed Tit,lottit1,Aegithalos caudatus,Long-tailed Tit,Schwanzmeise,Aegithalos caudatus,Aves,Passeriformes,['Aegithalos caudatus']
232,Aegithalos concinnus,Black-throated Tit,blttit2,Aegithalos concinnus,Black-throated Bushtit,Schwarzkehl-Schwanzmeise,Aegithalos concinnus,Aves,Passeriformes,['Aegithalos concinnus']
233,Aegithalos exilis,Pygmy Tit,pygtit1,Aegithalos exilis,Pygmy Bushtit,Javaschwanzmeise,Psaltria exilis,Aves,Passeriformes,"['Aegithalos exilis', 'Psaltria exilis']"
234,Aegithalos fuliginosus,Sooty Tit,sootit1,Aegithalos fuliginosus,Sooty Bushtit,Rußschwanzmeise,Aegithalos fuliginosus,Aves,Passeriformes,['Aegithalos fuliginosus']
235,Aegithalos glaucogularis,Silver-throated Tit,lottit5,Aegithalos glaucogularis,Silver-throated Bushtit,Silberkehl-Schwanzmeise,Aegithalos glaucogularis,Aves,Passeriformes,['Aegithalos glaucogularis']
236,Aegithalos iouschistos,Black-browed Tit,bkbtit3,Aegithalos iouschistos,Rufous-fronted Bushtit,Rostwangen-Schwanzmeise,Aegithalos iouschistos,Aves,Passeriformes,['Aegithalos iouschistos']
237,Aegithalos leucogenys,White-cheeked Tit,whctit1,Aegithalos leucogenys,White-cheeked Bushtit,Weißwangen-Schwanzmeise,Aegithalos leucogenys,Aves,Passeriformes,['Aegithalos leucogenys']
238,Aegithalos niveogularis,White-throated Tit,whttit1,Aegithalos niveogularis,White-throated Bushtit,Weißkehl-Schwanzmeise,Aegithalos niveogularis,Aves,Passeriformes,['Aegithalos niveogularis']
239,Aegithalos sharpei,,,Aegithalos sharpei,Burmese Bushtit,Burmaschwanzmeise,Aegithalos sharpei,Aves,Passeriformes,['Aegithalos sharpei']
240,Aegithina lafresnayei,Great Iora,greior1,Aegithina lafresnayei,Great Iora,Großiora,Aegithina lafresnayei,Aves,Passeriformes,['Aegithina lafresnayei']
241,Aegithina nigrolutea,White-tailed Iora,whtior1,Aegithina nigrolutea,Marshall's Iora,Schwarzkappeniora,Aegithina nigrolutea,Aves,Passeriformes,['Aegithina nigrolutea']
242,Aegithina tiphia,Common Iora,comior1,Aegithina tiphia,Common Iora,Garteniora,Aegithina tiphia,Aves,Passeriformes,['Aegithina tiphia']
243,Aegithina viridissima,Green Iora,greior2,Aegithina viridissima,Green Iora,Smaragdiora,Aegithina viridissima,Aves,Passeriformes,['Aegithina viridissima']
244,Aegolius acadicus,Northern Saw-whet Owl,nswowl,Aegolius acadicus,Northern Saw-whet Owl,Sägekauz,Aegolius acadicus,Aves,Strigiformes,['Aegolius acadicus']
245,Aegolius funereus,Boreal Owl,borowl,Aegolius funereus,Boreal Owl,Raufußkauz,Aegolius funereus,Aves,Strigiformes,['Aegolius funereus']
246,Aegolius harrisii,Buff-fronted Owl,bufowl1,Aegolius harrisii,Buff-fronted Owl,Blassstirnkauz,Aegolius harrisii,Aves,Strigiformes,['Aegolius harrisii']
247,Aegolius ridgwayi,Unspotted Saw-whet Owl,uswowl1,Aegolius ridgwayi,Unspotted Saw-whet Owl,Ridgwaykauz,Aegolius ridgwayi,Aves,Strigiformes,['Aegolius ridgwayi']
248,Aegotheles albertisi,Mountain Owlet-nightjar,moonig1,Aegotheles albertisi,Mountain Owlet-nightjar,Berghöhlenschwalm,Aegotheles albertisi,Aves,Apodiformes,['Aegotheles albertisi']
249,Aegotheles bennettii,Barred Owlet-nightjar,barown1,Aegotheles bennettii,Barred Owlet-nightjar,Bennetthöhlenschwalm,Aegotheles bennettii,Aves,Apodiformes,['Aegotheles bennettii']
250,Aegotheles crinifrons,Moluccan Owlet-nightjar,molown1,Aegotheles crinifrons,Moluccan Owlet-nightjar,Molukkenhöhlenschwalm,Aegotheles crinifrons,Aves,Apodiformes,['Aegotheles crinifrons']
251,Aegotheles cristatus,Australian Owlet-nightjar,auonig1,Aegotheles cristatus,Australian Owlet-nightjar,Baumhöhlenschwalm,Aegotheles cristatus,Aves,Apodiformes,['Aegotheles cristatus']
252,Aegotheles insignis,Feline Owlet-nightjar,feonig1,Aegotheles insignis,Feline Owlet-nightjar,Käuzchenhöhlenschwalm,Aegotheles insignis,Aves,Apodiformes,['Aegotheles insignis']
253,Aegotheles tatei,Starry Owlet-nightjar,spaown1,Aegotheles tatei,Starry Owlet-nightjar,Tiefland-Höhlenschwalm,Aegotheles tatei,Aves,Apodiformes,['Aegotheles tatei']
254,Aegotheles wallacii,Wallace's Owlet-nightjar,waonig1,Aegotheles wallacii,Wallace's Owlet-nightjar,Fleckenhöhlenschwalm,Aegotheles wallacii,Aves,Apodiformes,['Aegotheles wallacii']
255,Aegypius monachus,Cinereous Vulture,cinvul1,Aegypius monachus,Cinereous Vulture,Mönchsgeier,Aegypius monachus,Aves,Accipitriformes,['Aegypius monachus']
256,Aenigmatolimnas marginalis,Striped Crake,strcra1,Aenigmatolimnas marginalis,Striped Crake,Graukehl-Sumpfhuhn,Aenigmatolimnas marginalis,Aves,Gruiformes,"['Aenigmatolimnas marginalis', 'Amaurornis marginalis']"
258,Aeorestes cinereus,,,,,,Aeorestes cinereus,Mammalia,Chiroptera,"['Aeorestes cinereus', 'Lasiurus cinereus']"
260,Aeorestes egregius,,,,,,Aeorestes egregius,Mammalia,Chiroptera,"['Aeorestes egregius', 'Lasiurus egregius']"
262,Lasiurus semotus,,,,,,Aeorestes semotus,Mammalia,Chiroptera,"['Aeorestes semotus', 'Lasiurus semotus']"
263,Aepyceros melampus,Impala,t-11068556,,,,Aepyceros melampus,Mammalia,Artiodactyla,['Aepyceros melampus']
264,Aepypodius arfakianus,Wattled Brushturkey,watbrt1,Aepypodius arfakianus,Wattled Brushturkey,Kammbuschhuhn,Aepypodius arfakianus,Aves,Galliformes,['Aepypodius arfakianus']
265,Aerodramus amelis,Ameline Swiftlet,palswi2,Aerodramus amelis,Ameline Swiftlet,Grausalangane,Aerodramus amelis,Aves,Apodiformes,['Aerodramus amelis']
266,Aerodramus bartschi,Mariana Swiftlet,marswi,Aerodramus bartschi,Mariana Swiftlet,Marianensalangane,Aerodramus bartschi,Aves,Apodiformes,['Aerodramus bartschi']
267,Aerodramus brevirostris,Himalayan Swiftlet,himswi2,Aerodramus brevirostris,Himalayan Swiftlet,Himalajasalangane,Aerodramus brevirostris,Aves,Apodiformes,['Aerodramus brevirostris']
268,Aerodramus ceramensis,,,,,,Aerodramus ceramensis,Aves,Apodiformes,['Aerodramus ceramensis']
269,Aerodramus elaphrus,Seychelles Swiftlet,seyswi1,Aerodramus elaphrus,Seychelles Swiftlet,Seychellensalangane,Aerodramus elaphrus,Aves,Apodiformes,['Aerodramus elaphrus']
270,Aerodramus francicus,Mascarene Swiftlet,masswi1,Aerodramus francicus,Mascarene Swiftlet,Maskarenensalangane,Aerodramus francicus,Aves,Apodiformes,['Aerodramus francicus']
271,Aerodramus fuciphagus,White-nest Swiftlet,y00731,Aerodramus fuciphagus,Edible-nest Swiftlet,Weißnestsalangane,Aerodramus fuciphagus,Aves,Apodiformes,['Aerodramus fuciphagus']
272,Aerodramus germani,,,,,,Aerodramus germani,Aves,Apodiformes,['Aerodramus germani']
273,Aerodramus hirundinaceus,Mountain Swiftlet,mouswi2,Aerodramus hirundinaceus,Mountain Swiftlet,Bergsalangane,Aerodramus hirundinaceus,Aves,Apodiformes,['Aerodramus hirundinaceus']
274,Aerodramus infuscatus,Moluccan Swiftlet,molswi5,Aerodramus infuscatus,Moluccan Swiftlet,Halmaherasalangane,Aerodramus infuscatus,Aves,Apodiformes,['Aerodramus infuscatus']
275,Aerodramus inquietus,Caroline Islands Swiftlet,caiswi1,Aerodramus inquietus,Caroline Swiftlet,Karolinensalangane,Aerodramus inquietus,Aves,Apodiformes,['Aerodramus inquietus']
276,Aerodramus leucophaeus,Tahiti Swiftlet,polswi1,Aerodramus leucophaeus,Tahiti Swiftlet,Polynesiensalangane,Aerodramus leucophaeus,Aves,Apodiformes,['Aerodramus leucophaeus']
277,Aerodramus maximus,Black-nest Swiftlet,blnswi1,Aerodramus maximus,Black-nest Swiftlet,Schwarznestsalangane,Aerodramus maximus,Aves,Apodiformes,['Aerodramus maximus']
278,Aerodramus mearnsi,Philippine Swiftlet,phiswi1,Aerodramus mearnsi,Philippine Swiftlet,Braunbürzelsalangane,Aerodramus mearnsi,Aves,Apodiformes,['Aerodramus mearnsi']
279,Aerodramus ocistus,Marquesan Swiftlet,marswi2,Aerodramus ocistus,Marquesan Swiftlet,Marquesassalangane,Aerodramus ocistus,Aves,Apodiformes,['Aerodramus ocistus']
280,Aerodramus pelewensis,Palau Swiftlet,palswi1,Aerodramus pelewensis,Palau Swiftlet,Palausalangane,Aerodramus pelewensis,Aves,Apodiformes,['Aerodramus pelewensis']
281,Aerodramus salangana,Mossy-nest Swiftlet,monswi2,Aerodramus salangana,Mossy-nest Swiftlet,Moosnestsalangane,Aerodramus salangana,Aves,Apodiformes,['Aerodramus salangana']
282,Aerodramus sawtelli,Atiu Swiftlet,atiswi1,Aerodramus sawtelli,Atiu Swiftlet,Atiusalangane,Aerodramus sawtelli,Aves,Apodiformes,['Aerodramus sawtelli']
283,Aerodramus sororum,,,,,,Aerodramus sororum,Aves,Apodiformes,['Aerodramus sororum']
284,Aerodramus spodiopygius,White-rumped Swiftlet,whrswi2,Aerodramus spodiopygius,White-rumped Swiftlet,Weißbürzelsalangane,Aerodramus spodiopygius,Aves,Apodiformes,['Aerodramus spodiopygius']
285,Aerodramus terraereginae,Australian Swiftlet,ausswi1,Aerodramus terraereginae,Australian Swiftlet,Queenslandsalangane,Aerodramus terraereginae,Aves,Apodiformes,['Aerodramus terraereginae']
286,Aerodramus unicolor,Indian Swiftlet,indswi1,Aerodramus unicolor,Indian Swiftlet,Malabarsalangane,Aerodramus unicolor,Aves,Apodiformes,['Aerodramus unicolor']
287,Aerodramus vanikorensis,Uniform Swiftlet,uniswi1,Aerodramus vanikorensis,Uniform Swiftlet,Einfarbsalangane,Aerodramus vanikorensis,Aves,Apodiformes,['Aerodramus vanikorensis']
288,Aeronautes andecolus,Andean Swift,andswi1,Aeronautes andecolus,Andean Swift,Andensegler,Aeronautes andecolus,Aves,Apodiformes,['Aeronautes andecolus']
289,Aeronautes montivagus,White-tipped Swift,whtswi1,Aeronautes montivagus,White-tipped Swift,Bergsegler,Aeronautes montivagus,Aves,Apodiformes,['Aeronautes montivagus']
290,Aeronautes saxatalis,White-throated Swift,whtswi,Aeronautes saxatalis,White-throated Swift,Weißbrustsegler,Aeronautes saxatalis,Aves,Apodiformes,['Aeronautes saxatalis']
291,Aeropedellus clavatus,,,,,,Aeropedellus clavatus,Insecta,Orthoptera,['Aeropedellus clavatus']
292,Aeropedellus variegatus,,,,,,Aeropedellus variegatus,Insecta,Orthoptera,['Aeropedellus variegatus']
294,Aerospiza toussenelii,,,Aerospiza toussenelii,Red-chested Goshawk,Rotbrusthabicht,,Aves,,['Aerospiza toussenelii']
295,Aeshna grandis,,,,,,Aeshna grandis,Insecta,Odonata,['Aeshna grandis']
296,Aeshna umbrosa,,,,,,Aeshna umbrosa,Insecta,Odonata,['Aeshna umbrosa']
297,Aethia cristatella,Crested Auklet,creauk,Aethia cristatella,Crested Auklet,Schopfalk,Aethia cristatella,Aves,Charadriiformes,['Aethia cristatella']
298,Aethia psittacula,Parakeet Auklet,parauk,Aethia psittacula,Parakeet Auklet,Rotschnabelalk,Aethia psittacula,Aves,Charadriiformes,['Aethia psittacula']
299,Aethia pusilla,Least Auklet,leaauk,Aethia pusilla,Least Auklet,Zwergalk,Aethia pusilla,Aves,Charadriiformes,['Aethia pusilla']
300,Aethia pygmaea,Whiskered Auklet,whiauk,Aethia pygmaea,Whiskered Auklet,Bartalk,Aethia pygmaea,Aves,Charadriiformes,['Aethia pygmaea']
301,Aethomyias arfakianus,Gray-green Scrubwren,gygscr1,Aethomyias arfakianus,Grey-green Scrubwren,Arfaksericornis,Sericornis arfakianus,Aves,Passeriformes,"['Aethomyias arfakianus', 'Sericornis arfakianus']"
302,Aethomyias nigrorufus,Bicolored Mouse-Warbler,bimwar1,Aethomyias nigrorufus,Bicolored Scrubwren,Schwarzrückensericornis,Crateroscelis nigrorufa,Aves,Passeriformes,"['Aethomyias nigrorufus', 'Crateroscelis nigrorufa']"
303,Aethomyias papuensis,Papuan Scrubwren,papscr1,Aethomyias papuensis,Papuan Scrubwren,Papuasericornis,Sericornis papuensis,Aves,Passeriformes,"['Aethomyias papuensis', 'Sericornis papuensis']"
305,Aethomyias perspicillatus,Buff-faced Scrubwren,bufscr1,Aethomyias perspicillatus,Buff-faced Scrubwren,Brillensericornis,Sericornis perspicillatus,Aves,Passeriformes,"['Aethomyias perspicillatus', 'Sericornis perspicillatus']"
306,Aethomyias rufescens,Vogelkop Scrubwren,vogscr1,Aethomyias rufescens,Vogelkop Scrubwren,Braunohrsericornis,Sericornis rufescens,Aves,Passeriformes,"['Aethomyias rufescens', 'Sericornis rufescens']"
