id,sciName (Clements/eBird/ML),comNameEn (Clements/eBird/ML),code (Clements/eBird/ML),sciName (IOC),comNameEn (IOC),comNameDe (IOC/DOG),sciName (GBIF),class (GBIF),order (GBIF),sciNameSynonyms
11857,Otus longicornis,Luzon Scops-Owl,lusowl1,Otus longicornis,Luzon Scops Owl,Luzon-Zwergohreule,Otus longicornis,Aves,Strigiformes,['Otus longicornis']
11858,Otus madagascariensis,,,Otus madagascariensis,Torotoroka Scops Owl,Torotoroka-Zwergohreule,Otus madagascariensis,Aves,Strigiformes,['Otus madagascariensis']
11859,Otus magicus,Moluccan Scops-Owl,mosowl1,Otus magicus,Moluccan Scops Owl,Molukken-Zwergohreule,Otus magicus,Aves,Strigiformes,['Otus magicus']
11860,Otus tempestatis,Wetar Scops-Owl,molsco2,Otus tempestatis,Wetar Scops Owl,Wetar-Zwergohreule,Otus magicus,Aves,Strigiformes,"['Otus magicus', 'Otus tempestatis']"
11861,Otus manadensis,Sulawesi Scops-Owl,susowl1,Otus manadensis,Sulawesi Scops Owl,Manado-Zwergohreule,Otus manadensis,Aves,Strigiformes,['Otus manadensis']
11862,Otus mantananensis,Mantanani Scops-Owl,masowl2,Otus mantananensis,Mantanani Scops Owl,Mantanani-Zwergohreule,Otus mantananensis,Aves,Strigiformes,['Otus mantananensis']
11863,Otus mayottensis,Mayotte Scops-Owl,maysco1,Otus mayottensis,Mayotte Scops Owl,Mayotte-Zwergohreule,Otus mayottensis,Aves,Strigiformes,['Otus mayottensis']
11864,Otus megalotis,Philippine Scops-Owl,phsowl1,Otus megalotis,Philippine Scops Owl,Philippinen-Zwergohreule,Otus megalotis,Aves,Strigiformes,['Otus megalotis']
11865,Otus mendeni,Banggai Scops-Owl,sulsco5,Otus mendeni,Banggai Scops Owl,Banggai-Zwergohreule,Otus mendeni,Aves,Strigiformes,['Otus mendeni']
11866,Otus mentawi,Mentawai Scops-Owl,mesowl1,Otus mentawi,Mentawai Scops Owl,Mentawi-Zwergohreule,Otus mentawi,Aves,Strigiformes,['Otus mentawi']
11867,Otus mindorensis,Mindoro Scops-Owl,misowl2,Otus mindorensis,Mindoro Scops Owl,Mindoro-Zwergohreule,Otus mindorensis,Aves,Strigiformes,['Otus mindorensis']
11868,Otus mirus,Mindanao Scops-Owl,misowl1,Otus mirus,Mindanao Scops Owl,Mindanao-Zwergohreule,Otus mirus,Aves,Strigiformes,['Otus mirus']
11869,Otus moheliensis,Moheli Scops-Owl,mohsco1,Otus moheliensis,Moheli Scops Owl,Moheli-Zwergohreule,Otus moheliensis,Aves,Strigiformes,['Otus moheliensis']
11870,Otus nigrorum,Negros Scops-Owl,negsco1,Otus nigrorum,Negros Scops Owl,Negros-Zwergohreule,Otus nigrorum,Aves,Strigiformes,['Otus nigrorum']
11871,Otus pamelae,Arabian Scops-Owl,arasco1,Otus pamelae,Arabian Scops Owl,Arabien-Zwergohreule,Otus pamelae,Aves,Strigiformes,['Otus pamelae']
11872,Otus pauliani,Comoro Scops-Owl,cosowl3,Otus pauliani,Karthala Scops Owl,Komoren-Zwergohreule,Otus pauliani,Aves,Strigiformes,['Otus pauliani']
11873,Otus pembaensis,Pemba Scops-Owl,pesowl2,Otus pembaensis,Pemba Scops Owl,Pemba-Zwergohreule,Otus pembaensis,Aves,Strigiformes,['Otus pembaensis']
11874,Otus podarginus,Palau Scops-Owl,palowl2,Otus podarginus,Palau Scops Owl,Palaueule,Pyrroglaux podargina,Aves,Strigiformes,"['Otus podarginus', 'Pyrroglaux podargina']"
11875,Otus rufescens,Reddish Scops-Owl,resowl1,Otus rufescens,Reddish Scops Owl,Rötel-Zwergohreule,Otus rufescens,Aves,Strigiformes,['Otus rufescens']
11876,Otus rutilus,Madagascar Scops-Owl,madsco1,Otus rutilus,Rainforest Scops Owl,Madagaskar-Zwergohreule,Otus rutilus,Aves,Strigiformes,['Otus rutilus']
11877,Otus sagittatus,White-fronted Scops-Owl,wfsowl2,Otus sagittatus,White-fronted Scops Owl,Weißstirn-Zwergohreule,Otus sagittatus,Aves,Strigiformes,['Otus sagittatus']
11878,Otus scops,Eurasian Scops-Owl,eursco1,Otus scops,Eurasian Scops Owl,Zwergohreule,Otus scops,Aves,Strigiformes,['Otus scops']
11879,Otus semitorques,Japanese Scops-Owl,jasowl1,Otus semitorques,Japanese Scops Owl,Japan-Zwergohreule,Otus semitorques,Aves,Strigiformes,['Otus semitorques']
11880,Otus silvicola,Wallace's Scops-Owl,wasowl1,Otus silvicola,Wallace's Scops Owl,Wallace-Zwergohreule,Otus silvicola,Aves,Strigiformes,['Otus silvicola']
11881,Otus socotranus,Socotra Scops-Owl,afrsco2,Otus socotranus,Socotra Scops Owl,Sokotra-Zwergohreule,Otus socotranus,Aves,Strigiformes,['Otus socotranus']
11882,Otus spilocephalus,Mountain Scops-Owl,mosowl2,Otus spilocephalus,Mountain Scops Owl,Fuchs-Zwergohreule,Otus spilocephalus,Aves,Strigiformes,['Otus spilocephalus']
11883,Otus sulaensis,Sula Scops-Owl,sulsco3,Otus sulaensis,Sula Scops Owl,Sula-Zwergohreule,Otus sulaensis,Aves,Strigiformes,['Otus sulaensis']
11884,Otus sunia,Oriental Scops-Owl,orsowl,Otus sunia,Oriental Scops Owl,Orient-Zwergohreule,Otus sunia,Aves,Strigiformes,['Otus sunia']
11885,Otus thilohoffmanni,Serendib Scops-Owl,sersco1,Otus thilohoffmanni,Serendib Scops Owl,Ceylon-Zwergohreule,Otus thilohoffmanni,Aves,Strigiformes,['Otus thilohoffmanni']
11886,Otus umbra,Simeulue Scops-Owl,sisowl1,Otus umbra,Simeulue Scops Owl,Simalur-Zwergohreule,Otus umbra,Aves,Strigiformes,['Otus umbra']
11887,Ovibos moschatus,muskox,t-11072522,,,,Ovibos moschatus,Mammalia,Artiodactyla,['Ovibos moschatus']
11888,Ovis ammon,,,,,,Ovis ammon,Mammalia,Artiodactyla,['Ovis ammon']
