idx,sci_name,com_name,species_code,class_name,common_name_ru,common_name_de,common_name_es,common_name_cs,common_name_fr,common_name_nl,common_name_pl,common_name_ja,common_name_pt,common_name_ca,common_name_zh-CN,common_name_bg,common_name_no,common_name_sv,common_name_da,common_name_sk,common_name_uk,common_name_tr,common_name_fi,common_name_sr,common_name_es_ES,common_name_es_MX,common_name_pt_PT,common_name_hr,common_name_es_EC,common_name_lt,common_name_fa,common_name_zh,common_name_cy
13730,Scytalopus gonzagai,Boa Nova Tapaculo,sertap1,aves,Игуайский тапакуло,Braunschwingentapaculo,Churrín de Boa Nova,Boa Nova Tapaculo,Mérulaxe de Gonzaga,Bahiamuistapaculo,krytonosek popielaty,ボアノヴァオタテドリ,tapaculo-preto-baiano,tapacul de Boa Nova,棕背窜鸟,Боановенско тапакуло,boanovatapakulo,boanovatapakul,Boa Nova-tapaculo,tapakulo Gonzagov,Тапакуло багіянський,Boa Nova Tapakolası,Boa Nova Tapaculo,Tapakulo iz grada Boa Nova,Churrín de Boa Nova,Churrín de Boa Nova,Tapaculo-preto-baiano,smeđotrba strmorepka,Churrín de Boa Nova,Boa Nova Tapaculo,Boa Nova Tapaculo,Boa Nova Tapaculo,Boa Nova Tapaculo
13731,Scytalopus griseicollis,Pale-bellied Tapaculo,mattap1,aves,Сероголовый тапакуло,Rostbürzeltapaculo,Churrín de Matorral,štidlák andský,Mérulaxe du matorral,Matorraltapaculo,krytonosek szarawy,コシアカオタテドリ,pale-bellied tapaculo,tapacul de matollar,马托窜鸟,Боготенско тапакуло,matorraltapakulo,matorraltapakul,Bogotá Tapaculo,tapakulo bledobruchý,Тапакуло високогірний,Çalılık Tapakolası,kolumbianandientapakulo,Bledotrbi tapakulo,Churrín de matorral,Churrín de Matorral,Pale-bellied tapaculo,kolumbijska strmorepka,Tapaculo Pechipálido,Pietinis topakulas,تپلک شکمروشن,Pale-bellied Tapaculo,Pale-bellied Tapaculo
13732,Scytalopus intermedius,Utcubamba Tapaculo,blatap2,aves,Уткубамбский тапакуло,Utcubambatapaculo,Churrín de Utcubamba,Utcubamba Tapaculo,Mérulaxe de l'Utcubamba,Utcubambatapaculo,krytonosek zaroślowy,ウテクバンバオタテドリ,utcubamba tapaculo,tapacul d'Utcubamba,乌省窜鸟,Мараньонско тапакуло,utcubambatapakulo,utcubambatapakul,Peru Sortgrå Tapaculo,tapakulo prostredný,Тапакуло чагарниковий,Utkubamba Tapakolası,Utcubamba Tapaculo,Maranjonski tapakulo,Churrín de Utcubamba,Churrín de Utcubamba,Utcubamba tapaculo,Utcubamba Tapaculo,Tapaculo del Utcubamba,Utkubambinis topakulas,Utcubamba Tapaculo,Utcubamba Tapaculo,Utcubamba Tapaculo
13733,Scytalopus iraiensis,Marsh Tapaculo,martap1,aves,Болотный тапакуло,Flussauentapaculo,Churrín Palustre,štidlák mokřadní,Mérulaxe herbicole,Moerastapaculo,krytonosek turzycowy,ヌマオタテドリ,tapaculo-da-várzea,tapacul d'aiguamoll,湿地窜鸟,Блатно тапакуло,sumptapakulo,kärrtapakul,Sivtapaculo,tapakulo mokraďový,Тапакуло болотяний,Bataklık Tapakolası,luhtatapakulo,Močvarski tapakulo,Churrín palustre,Churrín Palustre,Macuquinho-das-várzeas,močvarna strmorepka,Churrín Palustre,Pelkinis topakulas,تپلک ماندابی,Marsh Tapaculo,Marsh Tapaculo
13734,Scytalopus krabbei,White-winged Tapaculo,whwtap1,aves,Белокрылый тапакуло,Weißflügeltapaculo,Churrín Aliblanco,White-winged Tapaculo,Mérulaxe de Krabbe,Witvleugeltapaculo,krytonosek białoskrzydły,White-winged Tapaculo,white-winged tapaculo,tapacul alablanc,白翅窜鸟,Белокрило тапакуло,hvithåndtapakulo,vitvingad tapakul,Hvidvinget Tapaculo,tapakulo bielokrídly,Тапакуло білокрилий,Ak Kanatlı Tapakola,White-winged Tapaculo,Belokrili tapakulo,Churrín aliblanco,Churrín Alas Blancas,White-winged tapaculo,White-winged Tapaculo,Tapaculo de Ala Blanca,Baltasparnis topakulas,تپلک بالسفید,White-winged Tapaculo,White-winged Tapaculo
13735,Scytalopus latebricola,Brown-rumped Tapaculo,brrtap1,aves,Буропоясничный тапакуло,Hellkehltapaculo,Churrín Ratona,štidlák rezavokostřecový,Mérulaxe à croupion brun,Bruinstuittapaculo,krytonosek brunatny,ハイムネオタテドリ,brown-rumped tapaculo,tapacul de carpó bru,褐腰窜鸟,Кафявокръсто тапакуло,brungumptapakulo,brungumpad tapakul,Brungumpet Tapaculo,tapakulo hnedkavý,Тапакуло бурий,Kahverengi Karınlı Tapakola,peukaloistapakulo,Smeđoleđi tapakulo,Churrín ratona,Churrín Ratona,Brown-rumped tapaculo,magdalenska strmorepka,Churrín Ratona,Rudasturplis topakulas,تپلک دمگاهقهوهای,Brown-rumped Tapaculo,Tapacwlo tinfrown
13736,Scytalopus latrans,Blackish Tapaculo,blatap1,aves,Чёрный тапакуло,Schwarztapaculo,Churrín Negruzco,štidlák tmavý,Mérulaxe noirâtre,Zwarte tapaculo,krytonosek czarniawy,クロミオタテドリ,blackish tapaculo,tapacul negrós,黑窜鸟,Черно тапакуло,bektapakulo,svartgrå tapakul,Sortgrå Tapaculo,tapakulo štekavý,Тапакуло чорний,Karaca Tapakola,mustatapakulo,Crnkasti tapakulo,Churrín negruzco,Churrín Negruzco,Blackish tapaculo,čađasta strmorepka,Tapaculo Negruzco,Juosvasis topakulas,تپلک سیهفام,Blackish Tapaculo,Blackish Tapaculo
13737,Scytalopus macropus,Large-footed Tapaculo,laftap1,aves,Большеногий тапакуло,Großfußtapaculo,Churrín Patudo,štidlák dlouhoprstý,Mérulaxe à grands pieds,Grootpoottapaculo,krytonosek duży,オオアシオタテドリ,large-footed tapaculo,tapacul de peus grans,大脚窜鸟,Едрокрако тапакуло,storfottapakulo,bäcktapakul,Bæktapaculo,tapakulo veľkonohý,Тапакуло великий,Koca Ayaklı Tapakola,koskitapakulo,Dugonogi tapakulo,Churrín patudo,Churrín Patudo,Large-footed tapaculo,crna strmorepka,Tapaculo de Pata Grande,Didžiakojis topakulas,تپلک پابزرگ,Large-footed Tapaculo,Tapacwlo troedfawr
13738,Scytalopus magellanicus,Magellanic Tapaculo,magtap1,aves,Магелланов тапакуло,Magellantapaculo,Churrín Magallánico,štidlák magellanský,Mérulaxe des Andes,Magelhaentapaculo,krytonosek magellański,タンビオタテドリ,magellanic tapaculo,tapacul de Magallanes,安第斯窜鸟,Магеланово тапакуло,magellantapakulo,magellantapakul,Magellantapaculo,tapakulo vývratový,Тапакуло андський,Macellan Tapakolası,andientapakulo,Magelanski tapakulo,Churrín magallánico,Churrín Magallánico,Magellanic tapaculo,mala strmorepka,Churrín del sur,Magelaninis topakulas,Magellanic Tapaculo,Magellanic Tapaculo,Tapacwlo tywyll
13739,Scytalopus meridanus,Merida Tapaculo,mertap1,aves,Меридский тапакуло,Méridatapaculo,Churrín de Mérida,štidlák meridský,Mérulaxe de Mérida,Meridatapaculo,krytonosek samotny,メリダオタテドリ,merida tapaculo,tapacul de Mérida,梅里达窜鸟,Мериденско тапакуло,meridatapakulo,méridatapakul,Méridatapaculo,tapakulo myšací,Тапакуло меридійський,Merida Tapakolası,méridantapakulo,Meridski tapakulo,Churrín de Mérida,Churrín de Mérida,Merida tapaculo,meridska strmorepka,Tapaculo de Mérida,Meridinis topakulas,Merida Tapaculo,Merida Tapaculo,Merida Tapaculo
13740,Scytalopus micropterus,Long-tailed Tapaculo,lottap1,aves,Длиннохвостый тапакуло,Dunkelrückentapaculo,Churrín Colilargo,štidlák rovníkový,Mérulaxe microptère,Langstaarttapaculo,krytonosek długosterny,セキドウワキアカオタテドリ,long-tailed tapaculo,tapacul de Sclater,长尾窜鸟,Дългоопашато тапакуло,langstjerttapakulo,långstjärtad tapakul,Langhalet Tapaculo,tapakulo dlhochvostý,Тапакуло колумбійський,Uzun Kuyruklu Tapakola,kolumbiantapakulo,Dugorepi tapakulo,Churrín colilargo,Churrín Colilargo,Long-tailed tapaculo,mrka strmorepka,Tapaculo Coludo,Ilgauodegis topakulas,تپلک دمدراز,Long-tailed Tapaculo,Long-tailed Tapaculo
13741,Scytalopus novacapitalis,Brasilia Tapaculo,bratap1,aves,Бразильский тапакуло,Brasiliatapaculo,Churrín de Brasilia,štidlák brazilský,Mérulaxe de Brasilia,Brasiliatapaculo,krytonosek brazylijski,ブラジリアオタテドリ,tapaculo-de-brasília,tapacul de Brasília,巴西窜鸟,Бразилско тапакуло,brasiliatapakulo,brasiliatapakul,Brasiliatapaculo,tapakulo lužný,Тапакуло бразильський,Brasilia Tapakolası,brasiliantapakulo,Brazilijanski tapakulo,Churrín de Brasilia,Churrín de Brasilia,Tapaculo-de-brasília,sinja strmorepka,Churrín de Brasilia,Brazilinis topakulas,Brasilia Tapaculo,Brasilia Tapaculo,Tapacwlo Brasilia
13742,Scytalopus opacus,Paramo Tapaculo,partap2,aves,Тапакуло парамо,Kordillerentapaculo,Churrín Paramero,Paramo Tapaculo,Mérulaxe du paramo,Paramotapaculo,krytonosek buszowy,パラモオタテドリ,paramo tapaculo,tapacul de páramo,棕臀黑窜鸟,Парамово тапакуло,paramotapakulo,páramotapakul,Páramotapaculo,tapakulo ekvádorský,Тапакуло нагірний,Paramo Tapakolası,ylänkötapakulo,Tapakulo iz paramoa,Churrín paramero,Churrín Paramero,Paramo tapaculo,planinska strmorepka,Tapaculo Paramero,Paramo Tapaculo,Paramo Tapaculo,Paramo Tapaculo,Paramo Tapaculo
13743,Scytalopus pachecoi,Planalto Tapaculo,platap1,aves,Южнобразильский тапакуло,Planalto-Tapaculo,Churrín de Pacheco,Planalto Tapaculo,Mérulaxe de Pacheco,Planaltotapaculo,krytonosek myszaty,プラナルトオタテドリ,tapaculo-ferreirinho,tapacul de Pacheco,高原窜鸟,Планалтоско тапакуло,planaltotapakulo,planaltotapakul,Planaltotapaculo,tapakulo kováčik,Тапакуло мурий,Pacheco Tapakolası,serradomarintapakulo,Tapakulo iz planalta,Churrín de Pacheco,Churrín de Pacheco,Tapaculo-ferreirinho,riđotrba strmorepka,Tapaculo del Planalto,Planaltinis topakulas,Planalto Tapaculo,Planalto Tapaculo,Planalto Tapaculo
13744,Scytalopus panamensis,Tacarcuna Tapaculo,tactap1,aves,Панамский тапакуло,Tacarcunatapaculo,Churrín Panameño,štidlák tacarcunský,Mérulaxe du Panama,Panamese tapaculo,krytonosek panamski,マミジロオタテドリ,tacarcuna tapaculo,tapacul de Panamà,淡喉窜鸟,Панамско тапакуло,tacarcunatapakulo,tacarcunatapakul,Tacarcunatapaculo,tapakulo čiernočelý,Тапакуло панамський,Takarkuna Tapakolası,harmaakurkkutapakulo,Takarkunski tapakulo,Churrín panameño,Churrín Panameño,Tacarcuna tapaculo,takarkunska strmorepka,Churrín Panameño,Panaminis topakulas,دمسیخ پانامایی,Tacarcuna Tapaculo,Tapacwlo gyddfwelw
13745,Scytalopus parkeri,Chusquea Tapaculo,chutap2,aves,Бамбуковый тапакуло,Bambustapaculo,Churrín del Bambú,štidlák bambusový,Mérulaxe de Parker,Parkertapaculo,krytonosek długoskrzydły,エクアドルミヤマオタテドリ,chusquea tapaculo,tapacul de Parker,丘斯窜鸟,Бамбуково тапакуло,bambustapakulo,chusqueatapakul,Bambustapaculo,tapakulo bambusový,Тапакуло сірий,Çuskea Tapakolası,savutapakulo,Parkerov bambusov tapakulo,Churrín del bambú,Churrín del Bambú,Chusquea tapaculo,bambusova strmorepka,Tapaculo de Chusquea,Parkerio topakulas,Chusquea Tapaculo,Chusquea Tapaculo,Chusquea Tapaculo
13746,Scytalopus parvirostris,Trilling Tapaculo,tritap1,aves,Певчий тапакуло,Trillertapaculo,Churrín Trinador,štidlák zpěvný,Mérulaxe à petit bec,Zwartgrijze tapaculo,krytonosek śpiewny,ウスズミオタテドリ,trilling tapaculo,tapacul cantaire,颤音窜鸟,Планинско тапакуло,trilletapakulo,drilltapakul,Snerretapaculo,tapakulo sivý,Тапакуло каштановочеревий,Trilli Tapakola,livertäjätapakulo,Cvrkutavi tapakulo,Churrín trinador,Churrín Trinador,Trilling tapaculo,cvrkutava strmorepka,Tapaculo Trinador,Trumpasnapis topakulas,تپلک چهچهزن,Trilling Tapaculo,Trilling Tapaculo
13747,Scytalopus perijanus,Perija Tapaculo,pertap1,aves,Перихский тапакуло,Perijátapaculo,Churrín del Perijá,Perija Tapaculo,Mérulaxe de la Perija,Perijatapaculo,krytonosek brązowokarkowy,ペリハオタテドリ,perija tapaculo,tapacul de Perijá,暗褐腰窜鸟,Периханско тапакуло,perijatapakulo,perijátapakul,Perijátapaculo,tapakulo perijský,Тапакуло періянський,Periha Tapakolası,Perija Tapaculo,Tapakulo sa planine Periha,Churrín del Perijá,Churrín del Perijá,Perija tapaculo,perihanska strmorepka,Tapaculo de Perijá,Perichinis topakulas,Perija Tapaculo,Perija Tapaculo,Perija Tapaculo
13748,Scytalopus petrophilus,Rock Tapaculo,roctap1,aves,Скальный тапакуло,Felstapaculo,Churrín Roquero,Rock Tapaculo,Mérulaxe des rochers,Rotstapaculo,krytonosek skalny,イワオタテドリ,tapaculo-serrano,tapacul roquer,岩窜鸟,Минасгераиско тапакуло,bergtapakulo,klipptapakul,Minas Gerais-tapaculo,tapakulo skalný,Тапакуло скельний,Kaya Tapakolası,Rock Tapaculo,Tapakulo iz Belo Horizonte,Churrín roquero,Churrín Roquero,Tapaculo-serrano,kamenjarska strmorepka,Churrín Roquero,Uolinis topakulas,Rock Tapaculo,Rock Tapaculo,Rock Tapaculo
13749,Scytalopus robbinsi,El Oro Tapaculo,ecutap1,aves,Эквадорский тапакуло,Robbinstapaculo,Churrín de El Oro,štidlák ekvádorský,Mérulaxe de Robbins,Robbinstapaculo,krytonosek ekwadorski,エクアドルオタテドリ,ecuadorian tapaculo,tapacul de Robbins,厄瓜多尔窜鸟,Еквадорско тапакуло,ecuadortapakulo,ecuadortapakul,Ecuadortapaculo,tapakulo podhorský,Тапакуло еквадорський,El Oro Tapakolası,el-orontapakulo,Ekvadorski tapakulo,Churrín de El Oro,Churrín de El Oro,Ecuadorian tapaculo,ekvadorska strmorepka,El Oro Tapaculo,Ekvadorinis topakulas,El Oro Tapaculo,El Oro Tapaculo,El Oro Tapaculo
13750,Scytalopus rodriguezi,Magdalena Tapaculo,upmtap1,aves,Магдаленский тапакуло,Magdalenatapaculo,Churrín del Alto Magdalena,Magdalena Tapaculo,Mérulaxe de Rodriguez,Magdalenatapaculo,krytonosek szarogłowy,マグダレーナオタテドリ,magdalena tapaculo,tapacul de l'alt Magdalena,扇尾窜鸟,Магдаленско тапакуло,magdalenatapakulo,magdalenatapakul,Magdalenatapaculo,tapakulo merenbergský,Тапакуло магдаленсьний,Magdalena Tapakolası,magdalenantapakulo,Tapakulo iz doline Magdalena,Churrín del Alto Magdalena,Churrín del Alto Magdalena,Magdalena tapaculo,cimetastotrba strmorepka,Churrín del Alto Magdalena,Rodrigeso topakulas,Magdalena Tapaculo,Magdalena Tapaculo,Magdalena Tapaculo
13751,Scytalopus sanctaemartae,Santa Marta Tapaculo,samtap1,aves,Сантамартийский тапакуло,Santa-Marta-Tapaculo,Churrín de Santa Marta,štidlák santamartský,Mérulaxe de Santa Marta,Santa-Martatapaculo,krytonosek ubogi,サンタマルタオタテドリ,santa marta tapaculo,tapacul de Santa Marta,圣岛窜鸟,Сантамартенско тапакуло,santamartatapakulo,santamartatapakul,Santa Marta-tapaculo,tapakulo santamartský,Тапакуло санта-мартський,Santa Marta Tapakolası,santamartantapakulo,Tapakulo sa Santa Marte,Churrín de Santa Marta,Churrín de Santa Marta,Santa marta tapaculo,santamartska strmorepka,Churrín de Santa Marta,Santamartinis topakulas,Santa Marta Tapaculo,Santa Marta Tapaculo,Santa Marta Tapaculo
13752,Scytalopus schulenbergi,Diademed Tapaculo,diatap1,aves,Диадемовый тапакуло,Diademtapaculo,Churrín Diademado,štidlák diadémový,Mérulaxe à diadème,Diadeemtapaculo,krytonosek diademowy,オウカンオタテドリ,diademed tapaculo,tapacul diademat,花冠窜鸟,Белочело тапакуло,diademtapakulo,diademtapakul,Diademtapaculo,tapakulo diadémový,Тапакуло діадемовий,Taçlı Tapakola,valko-otsatapakulo,Beločeli tapakulo,Churrín diademado,Churrín Diademado,Diademed tapaculo,srebrnastoglava strmorepka,Tapaculo Diademado,Baltakaktis topakulas,تپلک دیهیمدار,Diademed Tapaculo,Diademed Tapaculo
13753,Scytalopus simonsi,Puna Tapaculo,puntap1,aves,Полилеписный тапакуло,Punatapaculo,Churrín de la Puna,štidlák punový,Mérulaxe de Simons,Punatapaculo,krytonosek punański,アンデスオタテドリ,puna tapaculo,tapacul de la puna,蓬那窜鸟,Пунайско тапакуло,punatapakulo,punatapakul,Punatapaculo,tapakulo andský,Тапакуло захмарний,Puna Tapakolası,punantapakulo,Punski tapakulo,Churrín de la puna,Churrín de la Puna,Puna tapaculo,punska strmorepka,Tapaculo de la Puna,Simonso topakulas,Puna Tapaculo,Puna Tapaculo,Puna Tapaculo
13754,Scytalopus speluncae,Mouse-colored Tapaculo,moctap1,aves,Серый тапакуло,Maustapaculo,Churrín Plomizo,štidlák myší,Mérulaxe souris,Muistapaculo,krytonosek śniady,ネズミオタテドリ,tapaculo-preto,tapacul murí,鼠色窜鸟,Сиво тапакуло,blytapakulo,ljusgrå tapakul,Lysegrå Tapaculo,tapakulo brlôžkar,Тапакуло аргентинський,Fare Rengi Tapakola,lyijytapakulo,Tapakulo iz Sao Paola,Churrín plomizo,Churrín Plomizo,Tapaculo-do-espinhaço,siva strmorepka,Tapaculo Murino,Peleninis topakulas,تپلک موشرنگ,Mouse-colored Tapaculo,Tapacwlo plaen
13755,Scytalopus spillmanni,Spillmann's Tapaculo,spitap2,aves,Чускейский тапакуло,Roststeißtapaculo,Churrín de Spillmann,štidlák Spillmannův,Mérulaxe de Spillmann,Spillmanntapaculo,krytonosek bambusowy,スピルマンオタテドリ,spillmann's tapaculo,tapacul de Spillmann,斯氏窜鸟,Колумбийско тапакуло,sottapakulo,bambutapakul,Cotopaxi Tapaculo,tapakulo rapkavý,Тапакуло сіробокий,Spillmann Tapakolası,ecuadorintapakulo,Špilmanov bambusov tapakulo,Churrín de Spillmann,Churrín de Spillmann,Spillmann's tapaculo,olovastoprsa strmorepka,Tapaculo de Spillmann,Špilmano topakulas,Spillmann's Tapaculo,Spillmann's Tapaculo,Spillmann's Tapaculo
13756,Scytalopus stilesi,Stiles's Tapaculo,stitap1,aves,Медельинский тапакуло,Stilestapaculo,Churrín de Stiles,Stiles's Tapaculo,Mérulaxe de Stiles,Stilestapaculo,krytonosek kolumbijski,スタイルズオタテドリ,stiles's tapaculo,tapacul de Stiles,白喉扇尾窜鸟,Каукенско тапакуло,antioquiatapakulo,antioquiatapakul,Centralcolombiansk Tapaculo,tapakulo Stilesov,Тапакуло неотропічний,Stiles Tapakolası,antioquiantapakulo,Tapakulo strugač,Churrín de Stiles,Churrín de Stiles,Stiles's tapaculo,ljuskastotrba strmorepka,Churrín de Stiles,Kolumbinis topakulas,Stiles's Tapaculo,Stiles's Tapaculo,Stiles's Tapaculo
13757,Scytalopus superciliaris,White-browed Tapaculo,whbtap2,aves,Белобровый тапакуло,Weißbrauentapaculo,Churrín Cejiblanco,štidlák bělobrvý,Mérulaxe bridé,Witbrauwtapaculo,krytonosek białobrewy,ノドジロオタテドリ,white-browed tapaculo,tapacul cellablanc,白眉窜鸟,Беловеждо тапакуло,hvitbryntapakulo,vitbrynad tapakul,Hvidbrynet Tapaculo,tapakulo jelšový,Тапакуло білобровий,Ak Kaşlı Tapakola,valkokulmatapakulo,Beloobrvasti tapakulo,Churrín cejiblanco,Churrín Cejiblanco,White-browed tapaculo,obrvasta strmorepka,Churrín Ceja Blanca,Baltabruvis topakulas,تپلک ابروسفید,White-browed Tapaculo,Tapacwlo aelwyn
13758,Scytalopus unicolor,Unicolored Tapaculo,unitap1,aves,Одноцветный тапакуло,Hellbauchtapaculo,Churrín Unicolor,štidlák jednobarvý,Mérulaxe unicolore,Salvintapaculo,krytonosek jednobarwny,クロオタテドリ,unicolored tapaculo,tapacul unicolor,纯色窜鸟,Едноцветно тапакуло,gråtapakulo,cajamarcatapakul,Cajamarca Tapaculo,tapakulo jednofarebný,Тапакуло сизий,Tek Renkli Tapakola,harmaatapakulo,Jednobojni tapakulo,Churrín unicolor,Churrín Unicolor,Unicolored tapaculo,pepeljasta strmorepka,Tapaculo Unicolor,Vienspalvis topakulas,تپلک تکرنگ,Unicolored Tapaculo,Tapacwlo unlliw
13759,Scytalopus urubambae,Vilcabamba Tapaculo,viltap1,aves,Урубамбский тапакуло,Vilcabambatapaculo,Churrín de Vilcabamba,štidlák vilcabambský,Mérulaxe de Vilcabamba,Cuzcotapaculo,krytonosek inkaski,クスコオタテドリ,vilcabamba tapaculo,tapacul de Vilcabamba,维尔窜鸟,Вилкабамбенско тапакуло,vilcabambatapakulo,vilcabambatapakul,Urubambatapaculo,tapakulo behavý,Тапакуло ельфовий,Vilkabamba Tapakolası,vilcabambantapakulo,Tapakulo iz Vilkabambe,Churrín de Vilcabamba,Churrín de Vilcabamba,Vilcabamba tapaculo,vilkabampska strmorepka,Tapaculo de Vilcabamba,Kuskinis topakulas,Vilcabamba Tapaculo,Vilcabamba Tapaculo,Vilcabamba Tapaculo
13760,Scytalopus vicinior,Narino Tapaculo,nartap2,aves,Колумбийский тапакуло,Nariñotapaculo,Churrín de Nariño,štidlák nariňský,Mérulaxe du Narino,Nariñotapaculo,krytonosek ponury,マユナシオタテドリ,nariño tapaculo,tapacul de Nariño,太平洋窜鸟,Нариньоенско тапакуло,nariñotapakulo,nariñotapakul,Nariñotapaculo,tapakulo bridlicový,Наріно,Narinyo Tapakolası,nuohoojatapakulo,Biglišući tapakulo,Churrín de Nariño,Churrín de Nariño,Nariño tapaculo,sivoprsa strmorepka,Tapaculo de Nariño,Narinjinis topakulas,Narino Tapaculo,Narino Tapaculo,Tapacwlo Narino
13761,Scytalopus whitneyi,Ampay Tapaculo,amptap1,aves,Ампайский тапакуло,Ampaytapaculo,Churrín de Ampay,Ampay Tapaculo,Mérulaxe de Whitney,Ampaytapaculo,krytonosek jasnobrewy,アンペイオタテドリ,ampay tapaculo,tapacul d'Ampay,安派山窜鸟,Апуримакско тапакуло,ampaytapakulo,ampaytapakul,Ampay Tapaculo,tapakulo nohovcový,Тапакуло світлобровий,Ampay Tapakolası,Ampay Tapaculo,Ampajski tapakulo,Churrín de Ampay,Churrín de Ampay,Ampay tapaculo,Ampay Tapaculo,Tapaculo del Ampay,Ampajinis topakulas,Ampay Tapaculo,Ampay Tapaculo,Ampay Tapaculo
13762,Scytalopus zimmeri,Zimmer's Tapaculo,zimtap1,aves,Серогорлый тапакуло,Graukehltapaculo,Churrín de Zimmer,štidlák Zimmerův,Mérulaxe de Zimmer,Zimmertapaculo,krytonosek boliwijski,ボリビアミヤマオタテドリ,zimmer's tapaculo,tapacul de Zimmer,济氏窜鸟,Малко тапакуло,tarijatapakulo,chuquisacatapakul,Chuquisacatapaculo,tapakulo Zimmerov,Тапакуло таріянський,Zimmer Tapakolası,kivikkotapakulo,Cimerov tapakulo,Churrín de Zimmer,Churrín de Zimmer,Zimmer's tapaculo,bolivijska strmorepka,Churrín de Zimmer,Baltagurklis topakulas,Zimmer's Tapaculo,Zimmer's Tapaculo,Zimmer's Tapaculo
13763,Scythrops novaehollandiae,Channel-billed Cuckoo,chbcuc2,aves,Исполинский коэль,Nashornkuckuck,Cuco Tucán,kukačka obrovská,Coucou présageur,Reuzenkoekoek,żłobianka,オオオニカッコウ,cuco-tucano,cucut tucà,沟嘴鹃,Гигантска плодоядна кукувица,fikengjøk,jättegök,Kæmpegøg,kukučka obrovská,Зозуля-велет,Tukan Guguğu,jättikäki,Džinovska kukavica,Cuco tucán,Cuco Tucán,Cuco-tucano,velika kukavica,Cuco Tucán,Raukšlėtasnapė gegutė,کوکوی نوککانالی,沟嘴鹃,Cöel pigrychog
13764,Sechellophryne gardineri,Gardiner's Seychelles Frog,67182,amphibia,Лягушка Гардинера,Gardiner's Seychelles Frog,Gardiner's Seychelles Frog,mahénka ostrovní,Gardiner's Seychelles Frog,Gardiners seychellenkikker,Gardiner's Seychelles Frog,ガーディナーセーシェルガエル,Gardiner's Seychelles Frog,Gardiner's Seychelles Frog,加氏塞舌尔蛙,Gardiner's Seychelles Frog,Gardiner's Seychelles Frog,Gardiner's Seychelles Frog,Gardiner's Seychelles Frog,Gardiner's Seychelles Frog,Gardiner's Seychelles Frog,Gardiner's Seychelles Frog,Gardiner's Seychelles Frog,Gardiner's Seychelles Frog,Gardiner's Seychelles Frog,Gardiner's Seychelles Frog,Gardiner's Seychelles Frog,Gardiner's Seychelles Frog,Gardiner's Seychelles Frog,Siluetinė pūsliavarlė,Gardiner's Seychelles Frog,加德纳蛙,Gardiner's Seychelles Frog
13765,Segestidea queenslandica,Queensland Palm Katydid,851021,insecta,Queensland Palm Katydid,Queensland Palm Katydid,Queensland Palm Katydid,Queensland Palm Katydid,Queensland Palm Katydid,Queensland Palm Katydid,Queensland Palm Katydid,Queensland Palm Katydid,Queensland Palm Katydid,Queensland Palm Katydid,Queensland Palm Katydid,Queensland Palm Katydid,Queensland Palm Katydid,Queensland Palm Katydid,Queensland Palm Katydid,Queensland Palm Katydid,Queensland Palm Katydid,Queensland Palm Katydid,Queensland Palm Katydid,Queensland Palm Katydid,Queensland Palm Katydid,Queensland Palm Katydid,Queensland Palm Katydid,Queensland Palm Katydid,Queensland Palm Katydid,Queensland Palm Katydid,Queensland Palm Katydid,Queensland Palm Katydid,Queensland Palm Katydid
13766,Sehirus cinctus,White-margined Burrowing Bug,360116,insecta,White-margined Burrowing Bug,White-margined Burrowing Bug,White-margined Burrowing Bug,White-margined Burrowing Bug,White-margined Burrowing Bug,White-margined Burrowing Bug,White-margined Burrowing Bug,White-margined Burrowing Bug,White-margined Burrowing Bug,White-margined Burrowing Bug,White-margined Burrowing Bug,White-margined Burrowing Bug,White-margined Burrowing Bug,White-margined Burrowing Bug,White-margined Burrowing Bug,White-margined Burrowing Bug,White-margined Burrowing Bug,White-margined Burrowing Bug,White-margined Burrowing Bug,White-margined Burrowing Bug,White-margined Burrowing Bug,White-margined Burrowing Bug,White-margined Burrowing Bug,White-margined Burrowing Bug,White-margined Burrowing Bug,White-margined Burrowing Bug,White-margined Burrowing Bug,White-margined Burrowing Bug,White-margined Burrowing Bug
13767,Sehirus luctuosus,Forget-me-not Shieldbug,551076,insecta,Землекоп чёрный,Kleine Erdwanze,Forget-me-not Shieldbug,Forget-me-not Shieldbug,Séhire des myosotis,Vergeet-mij-nietgraafwants,Ziemik spiżowy,Forget-me-not Shieldbug,Forget-me-not Shieldbug,Forget-me-not Shieldbug,Forget-me-not Shieldbug,Forget-me-not Shieldbug,mørktorntege,mindre taggbening,Mørk tornben,Forget-me-not Shieldbug,Forget-me-not Shieldbug,Forget-me-not Shieldbug,sysipiilolude,Forget-me-not Shieldbug,Forget-me-not Shieldbug,Forget-me-not Shieldbug,Forget-me-not Shieldbug,Forget-me-not Shieldbug,Forget-me-not Shieldbug,Neužmirštuolinė urvablakė,Forget-me-not Shieldbug,Forget-me-not Shieldbug,Forget-me-not Shieldbug
