1444994	Pachylis neocalifornicus	Giant Mesquite Bug
1446183	Euceraia atrosignata	Euceraia atrosignata
1449342	Odontophrynus asper	Odontophrynus asper
1450550	Lasiurus blossevillii	Southern red bat
1453013	Bufotes viridis	Green Toad
1453432	Notamacropus agilis	Agile Wallaby
1453917	Pteronotus rubiginosus	Rusty Mustached Bat
1455326	Anax julius	Oriental Lesser Emperor
145540	Eristalinus taeniops	Stripe-eyed Lagoon Fly
1458045	Rattus lutreolus	Australian Swamp Rat
1462598	Siren nettingi	Western Lesser Siren
1462603	Eleutherodactylus jamesdixoni	Dixon’s Peeping Frog
1462616	Xenophrys parva	Concave-crowned Horned Toad
146661	Pachliopta aristolochiae	Common Rose Swallowtail
146709	Grylloprociphilus imbricator	Beech Blight Aphid
146737	Velarifictorus micado	Japanese Burrowing Cricket
146891	Eunemobius carolinus	Carolina Ground Cricket
147030	Oecanthus exclamationis	Davis' Tree Cricket
1472092	Purana ubina	Purana ubina
1472419	Petaurus breviceps	Sugar Glider
1473426	Liuixalus romeri	Romer's Tree Frog
1475913	Papilio agenor	Great Mormon
147950	Decticus verrucivorus	Wart-biter
148030	Equus asinus	Donkey
148145	Curculio glandium	acorn weevil
148562	Eunica monima	Dingy Purplewing
148742	Hamadryas februa	Gray Cracker
1490570	Philander vossi	Northern Four-eyed Opossum
1496502	Megatibicen grossus	Northern Dusk-singing Cicada
1497661	Chlorocanta viridis	Cotton-green Cicada
1497672	Tibicinoides utahensis	Sagebrush Cicada
1497673	Tibicinoides vanduzeei	Van Duzee's Cicada
1501031	Aglaothorax ovatus	Ovate Shieldback
1511713	Otospermophilus douglasii	Douglas's Ground Squirrel
151794	Atta texana	Texas Leafcutter Ant
1530402	Ololygon rizibilis	Santo Andre Snouted Tree Frog
1530406	Ololygon perpusilla	Bandeirantes Snouted Tree Frog
1530416	Ololygon littoralis	Rio Verde Snouted Tree Frog
1530452	Geocrinia sparsiflora	Otway Smooth Frog
1530457	Ololygon berthae	Dwarf Snouted Tree Frog
1530459	Julianus uruguayus	Schmidt's Uruguay Tree Frog
153211	Scudderia mexicana	Mexican Bush Katydid
153212	Scudderia texensis	Texas Bush Katydid
153391	Circotettix undulatus	Undulant-Winged Grasshopper
153394	Trimerotropis verruculata	Crackling Forest Grasshopper
153396	Circotettix carlinianus	Carlinian Snapper
153400	Circotettix rabula	Wrangler Grasshopper
153455	Oecanthus rileyi	Riley's Tree Cricket
153489	Neduba steindachneri	Steindachner’s Shieldback
153928	Neobarrettia spinosa	Greater Arid-land Katydid
153929	Neobarrettia victoriae	Lesser Arid-land Katydid
153974	Atta cephalotes	Hairy-headed leafcutter ant
154043	Bombus huntii	Hunt's Bumble Bee
1541106	Rhinella bella	Beautiful Cane Toad
1541549	Eleutherodactylus montserratae	Montserrat Whistling Frog
154340	Gryllodes sigillatus	Tropical House Cricket
1545222	Limnodynastes superciliaris	Coastal Banjo Frog
1545223	Limnodynastes grayi	Scarlet-sided Banjo Frog
1546001	Sciurus brasiliensis	Brazilian Squirrel
154605	Oecanthus nigricornis	Black-horned Tree Cricket
154661	Sphecodes albilabris	White-lipped Blood Bee
154667	Tabanus bromius	Band-eyed Brown Horse Fly
154672	Metrioptera brachyptera	Bog Bush-cricket
155030	Limenitis reducta	Southern White Admiral
155085	Bombus perplexus	Perplexing Bumble Bee
155238	Idiostatus aequalis	Uniform shieldback
155247	Opeia obscura	Obscure grasshopper
155249	Ageneotettix deorum	White-whiskered grasshopper
155258	Chimarocephala pacifica	Painted Meadow Grasshopper
155263	Platylyra californica	California Chaparral Katydid
155264	Neduba carinata	Carinated shield-back katydid
155274	Camnula pellucida	Clear-winged Grasshopper
155291	Lactista gibbosus	trailside grasshopper
155330	Rhinopoma cystops	Egyptian Mouse-tailed Bat
155387	Aedes vexans	Inland Floodwater Mosquito
1558164	Pelophylax lessonae	Pool Frog
1562178	Tursiops erebennus	Tamanend's Bottlenose Dolphin
1566795	Arphia pseudonietana	Red-winged Grasshopper
1575589	Spermophilus vorontsovi	Vorontsov's Ground Squirrel
1577354	Carollia brevicauda	Silky Short-tailed Bat
1580084	Orchelimum agile	Agile Meadow Katydid
1594913	Metapurana nebulilinea	Metapurana nebulilinea
1594925	Planopleura kaempferi	Kaempfer Cicada
1595866	Microhyla malcolmi	Malcolm's Narrow-mouthed Frog
1595925	Hylarana luctuosa	Mahogany Frog
1595927	Pseudis boliviana	Bolivian harlequin frog
